subject,idna_subject,expiration_date,epoch
ccp.ac,ccp.ac,27-sep-2021,1632700800.0
directory.ac,directory.ac,24-sep-2023,1695513600.0
fix.ac,fix.ac,25-jul-2021,1627171200.0
forum.ac,forum.ac,02-dec-2021,1638403200.0
kimono.ac,kimono.ac,19-sep-2021,1632009600.0
link.ac,link.ac,19-sep-2021,1632009600.0
primewire.ac,primewire.ac,14-jan-2022,1642118400.0
putlocker.ac,putlocker.ac,18-mar-2021,1616025600.0
sms.ac,sms.ac,18-jan-2022,1642464000.0
theacademy.ac,theacademy.ac,02-jun-2022,1654128000.0
tube.ac,tube.ac,15-jun-2021,1623715200.0
upload.ac,upload.ac,08-sep-2021,1631059200.0
bakewithaleks.academy,bakewithaleks.academy,15-oct-2021,1634256000.0
ed.academy,ed.academy,09-jan-2022,1641686400.0
youtuber.academy,youtuber.academy,30-dec-2021,1640822400.0
device-manager.accountant,device-manager.accountant,14-apr-2021,1618358400.0
imanapple.accountant,imanapple.accountant,14-aug-2022,1660435200.0
